User-ID	Location	Age
91	reinbek, schleswig-holstein, germany	27	
92	collings lakes, new jersey, usa	34	
93	glendale, colorado, usa	22	
94	woodstock, georgia, usa	36	
95	pittsburgh, pennsylvania, usa	66	
96	minneapolis, minnesota, usa	44	
97	avon, massachusetts, usa	27	
98	martinsburg, west virginia, usa	15	
99	chicago, illinois, usa	27	
100	shah alam, selangor, malaysia	22	
101	richmond, kentucky, usa	27	
102	kerava, uusimaa, finland	58	
103	tumwater, washington, usa	51	
104	ottawa, ontario, canada	49	
105	houston, texas, usa	21	
106	cincinnati, ohio, usa	25	
107	orillia, ontario, canada	47	
108	davison, michigan, usa	29	
109	west lawn, pennsylvania, usa	42	
110	lakewood, colorado, usa	37	
111	quezon city, national capital region, philippines	26	
112	ploiesti, prahova, romania	18	
113	byron, minnesota, usa	18	
114	selangor, subang jaya, malaysia	22	
115	long beach, california, usa	18	
116	hamburg, hamburg, germany	38	
117	moore, oklahoma, usa	24	
118	getxo, vizcaya, spain	41	
119	zaragoza, aragon, spain	29	
120	harrisburg, pennsylvania, usa	201	
121	fishers, indiana, usa	27	
122	doha, doha, qatar	15	
123	cordova, tennessee, usa	32	
124	lisboa, lisboa, portugal	29	
125	online, n/a, usa	28	
126	lancaster, pennsylvania, usa	36	
127	valencia, valencia, spain	41	
128	paris, paris, france	23	
129	porter, maine, usa	57	
130	coalville, leicestershire, england, united kingdom	35	
131	edmonton, alberta, canada	27	
132	roquemaure, languedoc roussillon, france	33	
133	corvallis, oregon, usa	24	
134	shiki, saitama, japan	24	
135	lake mary, florida, usa	37	
136	benbrook, texas, usa	28	
137	cary, north carolina, usa	34	
138	vitoria, álava, spain	23	
139	fresno, california, usa	38	
140	cherry hill, new jersey, usa	21	
141	springfield, missouri, usa	23	
142	charlotte, north carolina, usa	36	
143	sydney, new south wales, australia	27	
144	stratford, new jersey, usa	25	
145	albany, california, usa	44	
146	tarrytown, new york, usa	37	
147	kuala lumpur, , malaysia	47	
148	kitakyushu, fukuoka, japan	32	
149	milwaukee, wisconsin, usa	36	
150	roselle, illinois, usa	33	
151	brewster, new york, usa	40	
152	little rock, arkansas, usa	42	
153	houston, texas, usa	29	
154	mechanicsville, maryland, usa	47	
155	hackettstown, new jersey, usa	53	
156	cadillac, michigan, usa	49	
157	waterloo, ontario, canada	41	
158	stratford, iowa, usa	23	
159	alexandria, virginia, usa	48	
160	zaragoza, zaragoza, spain	23	
161	woodstock, georgia, usa	31	
162	irwin, pennsylvania, usa	38	
163	dublin, dublin, ireland	37	
164	iowa city, iowa, usa	33	
165	roanoke, virginia, usa	43	
166	alabaster, alabama, usa	47	
167	puchong, selangor, malaysia	32	
168	chesterland, ohio, usa	40	
169	kajang, selangor, malaysia	33	
170	southern, california, usa	38	
171	levittown, pennsylvania, usa	36	
172	huntington beach, california, usa	36	
173	menomonie, wisconsin, usa	60	
174	candler, north carolina, usa	54	
175	katonah, new york, usa	19	
176	del aire, california, usa	44	
177	baltimore, maryland, usa	48	
178	lansdale, pennsylvania, usa	32	
179	manchester, new hampshire,	51	
180	saratoga springs, utah, usa	27	
181	sacramento, california, usa	36	
182	grove city, ohio, usa	31	
183	ballston spa, new york, usa	32	
184	livermore, california, usa	51	
185	baltimore, maryland, usa	40	
186	sacramento, california, usa	20	
187	san francisco, california, usa	44	
188	alexandria, virginia, usa	36	
189	duluth, minnesota, usa	28	
190	westwood, new jersey, usa	56	
191	san diego, california, usa	32	
192	madison, wisconsin, usa	21	
193	memphis, tennessee, usa	31	
194	atlanta, georgia, usa	24	
195	san jose, california, usa	31	
196	houston, texas, usa	52	
197	brooklyn, new york, usa	25	
198	castle rock, colorado, usa	51	
199	drums, pennsylvania, usa	29	
200	montgomery, alabama, usa	18	
201	lynbrook, new york, usa	54	
202	franklin, pennsylvania, usa	28	
203	chapel hill, north carolina, usa	56	
204	mcallen, texas, usa	26	
205	burbank, california, usa	41	
206	hopkinsville, kentucky, usa	41	
207	minneapolis, minnesota, usa	25	
208	st. louis, missouri, usa	45	
209	tulsa, oklahoma, usa	22	
210	vineland, new jersey, usa	36	
211	palos hills, illinois, usa	20	
212	lakewood, washington, usa	55	
213	deventer, overijssel, netherlands	37	
214	orlando, florida, usa	40	
215	janesville, wisconsin, usa	36	
216	oswego, new york, usa	32	
217	higley, arizona, usa	29	
218	long island, new york, usa	44	
219	houston, texas, usa	39	
220	skokie, illinois, usa	67	
221	moyock, north carolina, usa	65	
222	la mesa, california, usa	31	
223	chambery, savoie, france	30	
224	derby, derbyshire, united kingdom	38	
225	gilbert, arizona, usa	41	
226	moving, moving, usa	46	
227	austin, texas, usa	33	
228	patton, missouri, usa	24	
229	halifax, nova scotia, canada	18	
230	tuscaloosa, alabama, usa	21	
231	vancouver, british columbia, canada	65	
232	winder, georgia, usa	44	
233	victor, montana, usa	67	
234	hickory, mississippi, usa	41	
235	woodbridge, virginia, usa	37	
236	santa cruz, california, usa	39	
237	herculaneum, missouri, usa	13	
238	città di castello, umbria, italy	28	
239	manchester, kentucky, usa	28	
240	baltimore, maryland, usa	49	
241	watertown, massachusetts, usa	29	
242	vancouver, washington, usa	59	
243	bountiful, utah, usa	41	
244	apache junction, arizona, usa	56	
245	beaverton, ontario, canada	32	
246	san diego, , usa	57	
247	long beach, california, usa	33	
248	boerne, texas, usa	34	
249	lima, ohio, usa	28	
250	port clinton, ohio, usa	31	
251	kansas city, missouri, usa	25	
252	grand rapids, michigan, usa	26	
253	south ohio, nova scotia, canada	61	
254	oakwood, georgia, usa	15	
255	altamonte springs, florida, usa	31	
256	springfield, missouri, usa	24	
257	michie, tennessee, usa	33	
258	thunder bay, ontario, canada	18	
259	bad axe, michigan, usa	28	
260	irving, texas, usa	31	
261	norwood, massachusetts, usa	26	
262	paoli, pennsylvania, usa	39	
263	modesto, california, usa	68	
264	asheville, north carolina, usa	38	
265	bolivar, missouri, usa	38	
266	mt. airy, , usa	39	
267	knoxville, tennessee, usa	26	
268	morris, connecticut, usa	53	
269	fullerton, california, usa	38	
270	simi valley, california, usa	37	
271	vancouver, british columbia, canada	37	
272	st. louis, missouri, usa	11	
273	east providence, rhode island, usa	25	
274	manchester, missouri, usa	27	
275	naples, florida, usa	25	
276	wildwood, new jersey, usa	49	
277	auburn, california, usa	25	
278	winnipeg, manitoba, canada	33	
279	newbury park, california, usa	40	
280	st. petersburg, florida, usa	23	
281	corvallis, oregon, usa	22	
282	sydney, new south wales, australia	32	
283	new york, new york, usa	23	
284	gainesville, georgia, usa	31	
285	woodbridge, england, united kingdom	39	
286	halifax, nova scotia, canada	24	
287	saint paul, minnesota, usa	45	
288	richmond, virginia, usa	43	
289	skokie, illinois, usa	67	
290	columbiana, alabama, usa	47	
291	london, england, united kingdom	29	
292	cleveland, ohio, usa	48	
293	sofia, n/a, bulgaria	33	
294	san jose, california, usa	38	
295	henryville, indiana, usa	34	
296	mesa, arizona, usa	75	
297	wilmington, massachusetts, usa	38	
298	kingsville, ontario, canada	26	
299	chula vista, california, usa	51	
300	pinehurst, north carolina, usa	44	
301	jasper, missouri, usa	54	
302	levittown, new york, usa	12	
303	skokie, illinois, usa	52	
304	tacoma, washington, usa	36	
305	bush, louisiana, usa	50	
306	south daytona, florida, usa	24	
307	gta, ontario, canada	29	
308	pipe creek, texas, usa	30	
309	st. rose, louisiana, usa	44	
310	richmond hill, ontario, canada	19	
311	york, south carolina, usa	17	
312	casper, wyoming, usa	49	
313	toulouse, haute-garonne, france	36	
314	olathe, kansas, usa	28	
315	quebec, quebec, canada	22	
316	winnipeg, manitoba, canada	26	
317	calgary, alberta, canada	24	
318	rockwell, north carolina, usa	27	
319	southaven, mississippi, usa	36	
320	richmond hill, ontario, canada	33	
321	winnipeg, manitoba, canada	29	
322	hull, massachusetts, usa	35	
323	barnhart, missouri, usa	24	
324	pittsburgh, pennsylvania, usa	51	
325	burlington, ontario, canada	35	
326	kelowna, british columbia, canada	54	
327	vallejo, california, usa	25	
328	brooklin, ontario, canada	37	
329	henderson, nevada, usa	47	
330	belfort, franche-comté, france	39	
331	somerville, massachusetts, usa	26	
332	west columbia, south carolina, usa	33	
333	melbourne, victoria, australia	24	
334	gütersloh, nordrhein-westfalen, germany	48	
335	wangen, zürich, switzerland	40	
336	terre haute, indiana, usa	31	
337	kansas city, missouri, usa	53	
338	pfaffenhofen an der ilm, bayern, germany	32	
339	rochester, new york, usa	34	
340	mentor, ohio, usa	36	
341	shah alam, selangor, malaysia	26	
342	amarillo, texas, usa	39	
343	austin, texas, usa	50	
344	carrboro, north carolina, usa	48	
345	san marcos, california, usa	39	
346	zachary, louisiana, usa	32	
347	hudson, new hampshire, usa	48	
348	hr. grace, newfoundland, canada	24	
349	wisconsin rapids, wisconsin, usa	27	
350	south hadley, massachusetts, usa	29	
351	raleigh, north carolina, usa	56	
352	deland, florida, usa	33	
353	dunnville, ontario, canada	39	
354	mesa, arizona, usa	30	
355	hamilton, ohio, usa	27	
356	whitehorse, yukon territory, canada	41	
357	americus, georgia, usa	33	
358	portland, oregon, usa	27	
359	tulsa, oklahoma, usa	27	
360	guer, bretagne, france	30	
361	medway, kent, united kingdom	36	
362	los angeles, california, usa	33	
363	spring, texas, usa	32	
364	sudbury, massachusetts, usa	18	
365	helsinki, uusimaa, finland	26	
366	cincinnati, ohio, usa	23	
367	williamsburg, virginia, usa	43	
368	roanoke, virginia, usa	50	
369	hayward, california, usa	30	
370	ocala, florida, usa	26	
371	newport beach, california, usa	23	
372	barcelona, catalunya, spain	33	
373	tharston, norwich, england, united kingdom	33	
374	newark, delaware, usa	34	
375	memphis, tennessee, usa	31	
376	kitchener, ontario, canada	17	
377	kingsville, texas, usa	31	
378	helsinki, uusimaa, finland	23	
379	san diego, california, usa	37	
380	berlin, berlin, germany	26	
381	woodbine, maryland, usa	44	
382	three rivers, ,	38	
383	san diego, california, usa	37	
384	morris plains, new jersey, usa	45	
385	jacksonville, florida, usa	47	
386	bonn, nordrhein-westfalen, germany	20	
387	boulder, colorado, usa	26	
388	barcelona, catalunya, spain	35	
389	kirkwood, missouri, usa	56	
390	auburn, alabama, usa	32	
391	las vegas, nevada, usa	38	
392	fairless hills, pennsylvania, usa	35	
393	bel air, maryland, usa	25	
394	miami, florida, usa	49	
395	new plymouth, taranaki, new zealand	44	
396	san francisco, california, usa	34	
397	west palm beach, florida, usa	24	
398	sterling heights, michigan, usa	25	
399	derby, derbyshire, united kingdom	40	
400	brainerd, minnesota, usa	37	
401	phoenix, arizona, usa	28	
402	pittsboro, north carolina, usa	53	
403	oklahoma city, oklahoma, usa	40	
404	nanaimo, british columbia, canada	51	
405	orlando, florida, usa	36	
406	san jose, california, usa	42	
407	houston, texas, usa	40	
408	austin, texas, usa	38	
409	datteln, nordrhein-westfalen, germany	40	
410	north little rock, arkansas, usa	34	
411	bellingham, washington, usa	51	
412	buffalo, minnesota, usa	63	
413	kerzers, fribourg, switzerland	42	
414	calgary, alberta, canada	58	
415	clinton twp., michigan, usa	54	
416	fair haven, new jersey, usa	50	
417	west seneca, new york, usa	33	
418	north york, ontario, canada	47	
419	lethbridge, alberta, canada	29	
420	toronto, ontario, canada	38	
421	clarksville, indiana, usa	26	
422	fredericton, ,	42	
423	fresno, california, usa	45	
424	kalamazoo, michigan, usa	21	
425	toronto, ontario, canada	36	
426	sterling, virginia, usa	33	
427	bridgewater, connecticut, usa	57	
428	shrewsbury, massachusetts, usa	26	
429	sacramento, california, usa	27	
430	delano, minnesota, usa	31	
431	granada hills, california, usa	43	
432	fairview, new jersey, usa	28	
433	sydney, new south wales, australia	26	
434	san antonio, texas, usa	29	
435	toronto, ontario, canada	39	
436	lake george, minnesota, usa	54	
437	florence, alabama, usa	31	
438	dallas, texas, usa	29	
439	spring, texas, usa	39	
440	farnborough, england, united kingdom	33	
441	alderson, west virginia, usa	34	
442	elizabethtown, pennsylvania, usa	51	
443	dingmans ferry, pennsylvania, usa	51	
444	flossmoor, illinois, usa	33	
445	recife, pernambuco, brazil	26	
446	paris, ile de france, france	27	
447	san antonio, texas, usa	37	
448	asheville, north carolina, usa	14	
449	northridge, california, usa	35	
450	howell, new jersey, usa	31	
451	houston, texas, usa	34	
452	ellensburg, washington, usa	42	
453	elmhurst, illinois, usa	33	
454	stillwater, oklahoma, usa	29	
455	ransomville, new york, usa	37	
456	scottsdale, arizona, usa	52	
457	lubbock, texas, usa	34	
458	ottawa, ontario, canada	32	
459	toronto, ontario, canada	40	
460	concordia, missouri, usa	43	
461	delaware water gap, pennsylvania, usa	16	
462	portland, oregon, usa	40	
463	vienna, vienna, austria	18	
464	florence, arizona, usa	35	
465	lemon grove, california, usa	51	
466	cleveland, oklahoma, usa	24	
467	peoria, arizona, usa	44	
468	west jordan, utah, usa	38	
469	thibodaux, louisiana, usa	41	
470	barcelona, ,	26	
471	san francisco, california, usa	38	
472	deer mountain, utah, usa	26	
473	., kansas, usa	37	
474	san antonio, texas,	35	
475	staten island, new york, usa	40	
476	catonsville, maryland, usa	48	
477	new hartford, new york, usa	27	
478	clintonville, wisconsin, usa	40	
479	minneapolis, minnesota, usa	58	
480	lebanon, pennsylvania, usa	36	
481	oceanside, california, usa	62	
482	palm bay, florida, usa	36	
483	toronto, ontario, canada	32	
484	prince albert, saskatchewan, canada	52	
485	columbus, ohio, usa	30	
486	milwaukee, wisconsin, usa	48	
487	shelbyville, kentucky, usa	48	
488	adrian, michigan, usa	41	
489	lawrenceville, georgia, usa	54	
490	long beach, california, usa	34	
491	phoenix, arizona, usa	49	
492	orange county, california, usa	24	
493	brantford, ontario, canada	34	
494	wichita,, kansas, usa	59	
495	jasper, missouri, usa	31	
496	west fairlee, vermont, usa	43	
497	burlington, ontario, canada	37	
498	richmond, california, usa	49	
499	houston, texas, usa	47	
500	calais, pas de calais, france	32	
501	lombard, illinois, usa	61	
502	lisboa, n/a, portugal	31	
503	safety harbor, florida, usa	38	
504	livermore, california, usa	45	
505	toccoa, ga., usa	33	
506	three hills, alberta, canada	38	
507	yuba city, california, usa	61	
508	bellevue, washington, usa	42	
509	orlando, florida, usa	29	
510	fullerton, california, usa	36	
511	sterlington, louisiana, usa	21	
512	toronto, ontario, canada	34	
513	south burlington, vermont, usa	52	
514	minneapolis, minnesota, usa	34	
515	puyallup, washington, usa	28	
516	minneapolis, minnesota, usa	25	
517	thalwil, zurich, switzerland	40	
518	barreiro, barreiro, portugal	30	
519	brest, bretagne, france	22	
520	bloomington, indiana, usa	55	
521	lacey, washington, usa	59	
522	bartlesville, oklahoma, usa	27	
523	philadelphia, pennsylvania, usa	24	
524	kaiserslautern, rheinland-pfalz, germany	27	
525	north haven, connecticut, usa	43	
526	austin, texas, usa	50	
527	nashua, new hampshire, usa	33	
528	pine beach, new jersey, usa	35	
529	calgary, alberta, canada	34	
530	burlington, north carolina, usa	44	
531	seattle, washington, usa	33	
532	austin, texas, usa	47	
533	moore, oklahoma, usa	25	
534	torrance, california, usa	48	
535	mendon, massachusetts, usa	57	
536	kitchener, ontario, canada	18	
537	lexington, kentucky, usa	42	
538	clearwater, florida, usa	37	
539	rapid city, south dakota, usa	25	
540	antioch, illinois, usa	43	
541	chatham, ontario, canada	35	
542	calgary, alberta, canada	37	
543	dartmouth, nova scotia, canada	28	
544	plantersville, texas, usa	45	
545	roscoe, minnesota, usa	17	
546	leeds, england, united kingdom	22	
547	pickering, ontario, canada	19	
548	wien, wien, austria	35	
549	tijeras, nm, usa	40	
550	n/a, surrey, united kingdom	63	
551	sturgis, michigan, usa	22	
552	rural hall, north carolina, usa	39	
553	merrifield, minnesota, usa	26	
554	escondido, california, usa	23	
555	monroe twp., new jersey, usa	52	
556	lawton, oklahoma, usa	30	
557	roswell, georgia, usa	32	
558	new york, new york, usa	38	
559	spring hill, florida, usa	35	
560	tigard, oregon, usa	39	
561	rudersberg, baden-württemberg, germany	29	
562	portland, oregon, usa	27	
563	wilmington, delaware, usa	43	
564	costa mesa, california, usa	19	
565	palmdale, california, usa	14	
566	peel, isle of man, united kingdom	23	
567	denver, colorado, usa	36	
568	baltimore, maryland, usa	33	
569	douglasville, georgia, usa	54	
570	cold lake, alberta, canada	35	
571	batavia, new york, usa	58	
572	allston, massachusetts, usa	34	
573	san antonio, texas, usa	28	
574	sarasota, florida, usa	19	
575	victoria, british columbia, canada	37	
576	owen sound, ontario, canada	36	
577	houston, texas, usa	33	
578	markham, ontario, canada	41	
579	plano, texas, usa	24	
580	centreville, virginia, usa	24	
581	pasadena, california, usa	27	
582	kingwood, texas, usa	27	
583	okemos, michigan, usa	29	
584	brooklyn, new york, usa	40	
585	elizabeth city, north carolina, usa	35	
586	alvin, texas, usa	47	
587	middletown, delaware, usa	52	
588	st. marys, georgia, usa	50	
589	bardonia, new york, usa	43	
590	basingstoke, england, united kingdom	37	
591	chardon, ohio, usa	41	
592	edwardsville, illinois, usa	57	
593	manchester, new hampshire, usa	38	
594	aberdare, wales, united kingdom	24	
595	erstein, alsace, france	33	
596	sacramento, california, usa	25	
597	charleston, south carolina, usa	50	
598	riverside public library, illinois, usa	53	
599	jamaica plain, massachusetts, usa	41	
600	ebensee, oberoesterreich, austria	44	
601	walnut creek, california, usa	65	
602	lake placid, florida, usa	25	
603	dayton, maine, usa	41	
604	villanova, pennsylvania, usa	58	
605	tucson, arizona, usa	63	
606	las cruces, new mexico, usa	44	
607	yarmouth, nova scotia, canada	9	
608	lake mary, florida, usa	30	
609	el cajon, california, usa	26	
610	cudahy, wisconsin, usa	40	
611	wahiawa, hawaii, usa	31	
612	dublin, texas, usa	50	
613	new milford, connecticut, usa	47	
614	milwaukee, wisconsin, usa	39	
615	hi nella, new jersey, usa	27	
616	chesterfield, derbyshire, united kingdom	39	
617	redwood city, california, usa	23	
618	fairfax, virginia, usa	23	
619	eufaula, alabama, usa	22	
620	chesapeake, virginia,	41	
621	torrance, california, usa	15	
622	waterloo, ontario, canada	45	
623	pomona, california, usa	39	
624	emporia, kansas, usa	28	
625	peru, illinois, usa	43	
626	rapid city, south dakota, usa	36	
627	edmonton, alberta, canada	28	
628	colorado springs, colorado, usa	43	
629	smyrna, georgia, usa	46	
630	san ramon, california, usa	36	
631	atlanta, georgia, usa	34	
632	murfreesboro, tennessee, usa	33	
633	normal, illinois, usa	34	
634	longmont, colorado, usa	28	
635	browns mills, new jersey, usa	54	
636	san diego, california, usa	30	
637	uniontown, ohio, usa	58	
638	saginaw, michigan, usa	42	
639	tulsa, oklahoma, usa	26	
640	syracuse, new york, usa	32	
641	coffs harbour, new south wales, australia	40	
642	salem, virginia, usa	29	
643	aptos, california, usa	28	
644	factoryville, pennsylvania, usa	34	
645	pierrefonds, quebec, canada	29	
646	berlin, berlin, germany	16	
647	astoria, new york, usa	27	
648	orange park, florida, usa	67	
649	san jose, california, usa	55	
650	athens, ohio, usa	28	
651	fort myers, florida, usa	42	
652	kuching, sarawak, malaysia	31	
653	vero beach, florida, usa	57	
654	denver, colorado, usa	13	
655	bloomfield, new jersey, usa	50	
656	danbury, connecticut, usa	31	
657	oakland, california, usa	45	
658	sierra madre, california, usa	42	
659	wrightstown, ,	47	
660	rainsville, alabama, usa	12	
661	houston, texas, usa	50	
662	lincoln city, oregon, usa	53	
663	brooklyn, new york, usa	34	
664	virginia beach, virginia, usa	22	
665	la crosse, wisconsin, usa	50	
666	chickasha, oklahoma, usa	28	
667	downieville, california, usa	49	
668	hendersonville, north carolina, usa	59	
669	lewes, delaware, usa	46	
670	miami, florida, usa	37	
671	aurora, illinois, usa	26	
672	drayton valley, alberta, canada	55	
673	new york, new york, usa	42	
674	cross plains, wisconsin, usa	31	
675	mooresville, north carolina, usa	55	
676	mililani, hawaii, usa	46	
677	nebraska city, nebraska, usa	29	
678	ede, gelderland, netherlands	36	
679	bakersfield, california, usa	39	
680	philadelphia, pennsylvania, usa	33	
681	west sacramento, california, usa	24	
682	minneapolis, minnesota, usa	32	
683	augusta, maine, usa	41	
684	asnières, ile de france, france	34	
685	weesp, noord holland, netherlands	36	
686	pinehurst, north carolina, usa	43	
687	st. john`s, ontario, canada	30	
688	winnipeg, manitoba, canada	19	
689	carbonear, newfoundland, canada	25	
690	ottawa, ontario, canada	56	
691	omaha, nebraska, usa	23	
692	ithaca, new york, usa	36	
693	crescent city, florida, usa	57	
694	asheville, north carolina, usa	35	
695	hamburg, hamburg, germany	26	
696	prince george, british columbia, canada	53	
697	warwick, rhode island, usa	18	
698	melbourne, victoria, australia	49	
699	new haven, connecticut, usa	36	
700	hauppauge, long island, new york, usa	57	
701	glasgow, scotland, united kingdom	23	
702	cumberland, maryland, usa	30	
703	phoenix, arizona, usa	29	
704	ottawa, ontario, canada	62	
705	west los angeles, california, usa	23	
706	port coquitlam, british columbia, canada	28	
707	columbia, missouri, usa	22	
708	valley center, kansas, usa	26	
709	mainz, rheinland-pfalz, germany	34	
710	houston, texas, usa	21	
711	somerville, massachusetts, usa	23	
712	new york, new york, usa	37	
713	ottawa, ontario, canada	40	
714	albuquerque, new mexico, usa	33	
715	samieira, pontevedra, spain	49	
716	milford, iowa, usa	15	
717	clovis, california, usa	48	
718	paris, illinois, usa	103	
719	niedernhausen, hessen, germany	24	
720	oulu, pohjois-pohjanmaa, finland	24	
721	gordonsville, virginia, usa	39	
722	watertown, new york, usa	31	
723	vanves, ile-de-france, france	44	
724	brush valley, pennsylvania, usa	20	
725	little rock, arkansas, usa	35	
726	seattle, washington, usa	29	
727	san diego, california, usa	33	
728	astoria, new york, usa	38	
729	almada, setúbal, portugal	27	
730	denver, colorado, usa	30	
731	montrose, california, usa	29	
732	san diego, california, usa	21	
733	san gabriel, california, usa	24	
734	lacey, washington, usa	28	
735	pampa, texas, usa	23	
736	capitola, california, usa	40	
737	peterborough, new hampshire, usa	28	
738	lansdale, pennsylvania, usa	61	
739	pineville, pennsylvania, usa	28	
740	castlegar, british columbia, canada	20	
741	seattle, washington, usa	39	
742	birmingham, alabama, usa	49	
743	macomb, michigan, usa	21	
744	turners falls, massachusetts, usa	24	
745	hamburg, hamburg, germany	35	
746	, illinois, usa	29	
747	darmstadt, hessen, germany	31	
748	geneva, illinois, usa	36	
749	gainesville, florida, usa	27	
750	west point, virginia, usa	26	
751	charleston, west virginia, usa	33	
752	amsterdam, noord-holland, netherlands	35	
753	buffalo, minnesota, usa	30	
754	norwich, england, united kingdom	28	
755	buckfield, maine, usa	33	
756	sioux falls, south dakota, usa	49	
757	comox, british columbia, canada	71	
758	lisboa, lisboa, portugal	25	
759	clarksville, tennessee, usa	34	
760	olympia, washington, usa	58	
761	zanesville, ohio, usa	103	
762	orange park, florida, usa	37	
763	santa clarita, california, usa	55	
764	seattle, washington, usa	36	
765	snellville, georgia, usa	17	
766	london, england, united kingdom	38	
767	marietta, georgia, usa	57	
768	little rock, arkansas, usa	49	
769	easley, south carolina, usa	19	
770	sacramento, california, usa	25	
771	durango, colorado, usa	21	
772	louisville, kentucky, usa	33	
773	menomonee falls, wisconsin, usa	18	
774	ottawa, ontario, canada	25	
775	gig harbor, washington, usa	51	
776	mission viejo, california, usa	43	
777	atlantic highlands, new jersey, usa	29	
778	charleston, south carolina, usa	33	
779	enfield, connecticut, usa	32	
780	mount airy, maryland, usa	24	
781	el cajon, california, usa	40	
782	chantilly, virginia, usa	49	
783	honolulu, hawaii, usa	28	
784	daphne, alabama, usa	58	
785	wien, wien, austria	39	
786	amadora, lisboa, portugal	29	
787	fairbanks, alaska, usa	37	
788	spruce grove, alberta, canada	43	
789	childersburg, alabama, usa	37	
790	south plainfield, new jersey, usa	55	
791	nottingham, england, united kingdom	27	
792	st. louis, missouri, usa	24	
793	athens, georgia, usa	58	
794	mackay, queensland, australia	26	
795	hickory, north carolina, usa	23	
796	chesapeake, virginia, usa	35	
797	salt lake city, utah, usa	28	
798	olympia, washington, usa	35	
799	olympia, wa, usa	34	
800	overland park, kansas, usa	24	
801	lisboa, lisboa, portugal	32	
802	warminster, wiltshire, united kingdom	20	
803	st louis, missouri, usa	43	
804	new castle, delaware, usa	27	
805	warrensburg, missouri, usa	33	
806	middleburg, virginia, usa	41	
807	freiburg, baden-württemberg, germany	46	
808	romsey, hampshire, united kingdom	18	
809	maia, porto, portugal	20	
810	shanghai, shanghai, china	17	
811	london, england, united kingdom	28	
812	savannah, georgia, usa	20	
813	cambridge, massachusetts, usa	25	
814	mesa, arizona, usa	28	
815	san antonio, texas, usa	28	
816	carrollton, kentucky, usa	57	
817	bluffton, south carolina,	36	
818	sacramento, california, usa	37	
819	springfield, illinois, usa	35	
820	horsham, west sussex, united kingdom	42	
821	minneapolis, minnesota, usa	34	
822	nashville, tennessee, usa	30	
823	oshawa, ontario, canada	46	
824	namur, namur, belgium	26	
825	yulee, florida, usa	47	
826	nashville, tennessee, usa	21	
827	san antonio, texas, usa	40	
828	richmond, virginia, usa	59	
829	austin, texas, usa	52	
